ID,Title,Singer,Words,Sentiment,Lyrics
44,The Channel,Limp Bizkit,278,negative,"I don't like the radio I don't like tv They're selling so much shit these days And this shit is not who I want to be I don't like officials Using rank to pretend they're not crooks I don't like the tricks played on kids in those shitty teen metal books I don't like my heroes To kill themselves with the drugs I don't think success can fill you up when you need love I don't like the whores That try to fuck you for your game I don't like my childhood And do not need someone else to blame  This is the channel I'm dialed into I already know you, are dialed in too This is the channel I'm dialed into and I already know you, are dialed in too I already know you are dialed in too  Come on  I don't like this music I don't like this band I like what we're about and mock what you cannot understand I don't like being paranoid I don't like that I'm breeding again but I accept all these cards I've been dealt And do not be your motherfucking friend  This is the channel I'm dialed into I already know you, are dialed in too This is the channel I'm dialed into and I already know you, are dialed in too I already know you are dialed in too I already know you are dialed in too  Who gives a fuck about what I like who gives a fuck about who listens as long as I'm here as long as you know you can keep me here for whenever you get lost or you need an excuse to coverup your intentions you hate that I express how I'm feeling you hate that you relate to this shit you hate that I'm a tick a motherfucking tick you're finding hard to forget!  This is the channel I'm dialed into I already know you, are dialed in too This is the channel I'm dialed into and I already know you, are dialed in too I already know you are dialed in too I already know you are dialed in too  "
45,The Enemy (Album Version),Roadrunner United,285,negative,"I finally found myself I tried to erase all this hate from my body I tried to end all the lies, all the pain that I caused everyone But it all seemed so fucking useless I can't forgive  And I can't forget  Don't you know who the fuck I am I'm the enemy I've lived a life of regret I've had this burden of guilt suffocating  It's time to shed this disguise And it's time to rise and destroy Everyone in my fucking path I can't forgive  And I can't forget  Don't you know who the fuck I am I'm the enemy Take a good look at me  I'm your enemy  Don't try to make amends There's just no need to pretend it will all be ok You can try to run and you can try to hide But it's all fucking pointless  I can't forgive And I can't forget  Don't you know who the fuck I am I'm the enemy "
46,The Four Horsemen,Metallica,321,negative,By the last breath of the fourth winds blow Better raise your ears The sound of hooves knocks at your door Lock up your wife and children now It's time to wield the blade For now you have got some company The Horsemen are drawing nearer On the leather steeds they ride They have come to take your life On through the dead of night With the four Horsemen ride or choose your fate and die You have been dying since the day You were born You know it has all been planned The quartet of deliverance rides A sinner once a sinner twice No need for confession now Cause now you have got the fight of your life The Horsemen are drawing nearer On the leather steeds they ride They have come to take your life On through the dead of night With the four Horsemen ride or choose your fate and die Time has taken its toll on you The lines that crack your face Famine Your body it has torn through Withered in every place Pestilence For what you have had to endure And what you have put others through Death Deliverance for you for sure There is nothing you can do So gather round young warriors now and saddle up your steeds Killing scores with demon swords Now is the death of doers of wrong Swing the judgment hammer down Safely inside armor blood guts and sweat The Horsemen are drawing nearer On the leather steeds they ride They have come to take your life On through the dead of night With the four Horsemen ride or choose your fate and die 
47,The Key,Limp Bizkit,86,negative,"Shut the fuck up! You shut the fuck up! Who the fuck are you? Who the fuck are you? (I ain't nobody) That's the question, the question at hand. Oh, man, fuck this. Fuck this! (I ain't nobody)  You know, I lost my place a long time ago about fifty fucking rhymes ago I'm wrecking again I'm seriously considering checking myself in Locked inside this key chamber There's millions of keys inside but only one can stop my anger and I'm not fading away, so I'll just have to die  Unlocking the doors in my mind How many doors will I find? I think I got the key I guess I'll just try another if that's the key Unlocking the doors in my mind How many doors will I find? I think I got the key I guess I'll just try another if that's the key  "
48,The Life And Death Of Mr. Badmouth,Pj Harvey,290,negative,"Baby, you got a bad bad mouth Everything is poison that\'s coming out Cheating, lying since the day you were born Someone outta rinse it out with soap Wash it out, wash it out, wash it out The Life & Death Of Mr. Badmouth -- PJ harvey No kind words are coming out of your mouth Plenty goes in but nothing good comes out Badmouth, sad mouth, you were an unhappy child That doesn\'t make your lying tongue alright Wash it out, wash it out, wash it out The Life & Death Of Mr. Badmouth -- PJ harvey Wash it out, wash it out, wash it out Cos everything is poison You\'ll be the unhappy one Your lips taste of poison You\'re gonna be left alone The Life & Death Of Mr. Badmouth -- PJ harvey When you told me every word you said Came from voices talking in your head Baby, I just think you\'re out for what you can get Your badmouth has killed off everything we had Wash it out, wash it out, wash it out Wash it out, wash it out, wash it out Your lips taste of poison You\'ll be the unhappy one Cos everything is poison You\'ll be in the corner crying Your lips taste of poison You\'ll be the unhappy one Your lips taste of poison You\'re gonna be left alone lyrics edit by: Justin_X "
49,The Priest,Limp Bizkit,299,negative,"It could be the absinth talking (I don't think so) I don't either I've gotta find a new place A new place to feed Gotta be  Stop everything, something is not feeling right The planets are not all aligned I know when I felt this before My evil is thirsty for more I need a new allie to feed What can I do? I've got an idea I think I'll just become a priest Deceiving them with my belief I'll preach about what life is worth And cover my sins with their shirts My demons can run around free No one will suspect a thing I'll show them its okay to lust A priest in a church you can trust I found a new allie to feed  Baptized by the unexpected Terrorized by the imperfections  Somethings not right The planets are not all aligned I know when I felt this before My evil is thirsty for more I need a new allie to feed What can I do? I've got an idea I think I'll just become a priest Decieving them with my belief I'll preach about what life is worth And cover my sins with their shirts My demons can run around free No one will suspect a thing I'll show them its okay to lust A priest in a church you can trust I found a new allie to feed  Baptized by the unexpected Terrorized by the imperfections Baptized by the unexpected Terrorized by the imperfections  Oh my god I'm watching TV I can't Oh what's this world coming to I see a priest molesting children I see terrorists blowing up buildins I see someone in rage Killing Dimebag on stage What the fuck is this? What the fuck is this? I got a kid Should I send him to Sunday School? I got a kid Should I send him to Sunday School? So you can fuck him Oh no you aint gonna fuck him How bout this? I don't fucking know who I can trust In this world and I'm gonna blow One more time I'm not that scared  Something is not feeling right The planets are not all aligned I know when I felt this before My evil is thirsty for more I need a new allie to feed  Baptized by the unexpected Terrorized by the imperfections Baptized by the unexpected Terrorized by the imperfections  "
50,The Propaganda,Limp Bizkit,316,negative,"Tell 'em how to sell it It's propaganda  Don't tell me how to keep my composure It ain't over till I give me some closure Wanted dead or alive is my profile Hostile is the frame for my state of grace so feebly a mental disorder where reality is highly distorted psychosis weak in the mind inclined is mitosis as we approach this ever rentless quest for avengeance while those who expose and pretend this Life is just a bowl of cherry's, a bunch of fairies screaming to be scary  It's propaganda sell em to the innocent aww yea they're buying it Just Show em to rebuild again I'm a maniac hard one to handle you better comeback with more than a scandal fucked over for the times I've been grateful fucked over by the times I've been hateful made the tracks and fuck you with your pussy mouth come again friend now we got some action on and on is a name that they gave me and your misery came here to save me  It's propaganda sell em to the innocent aww yea they're buying it Just Show em to rebuild again It's propaganda sell em to the innocent fuck yea they're buying it Just Show em to rebuild again  Fuck it!  Who is falling and faded slowly you don't know me but I made you  I made you  who is falling fading slowly you don't know me but I made you  I made you  "
51,The Ripper,Judas Priest,161,negative,"You're in for surprise You're in for a shock In london town streets When there's darkness and fog When you least expect me And you turn your back I'll attack  I smile when i'm sneaking Through shadows by the wall I laugh when i'm creeping But you won't hear me at all  All hear my warning Never turn your back On the ripper  You'll soon shake with fear Never knowing if i'm near I'm sly and i'm shameless Nocturnal and nameless Except for ""the ripper"" Or if you like ""jack the knife""  Solo (glenn)  Any back alley street Is where we'll probably meet Underneath a gas lamp Where the air's cold and damp I'm a nasty surprise I'm a devil in disguise I'm a footstep at night I'm a scream of the fright  All hear my warning Never turn your back On the ripper...the ripper....the ripper "
52,The Story,Limp Bizkit,231,negative,"just live and let die check, check, check, comon if you could take a minute of your life a certain minute when you feel the lightning strike danger is the only level of that moment but it's your moment and you know you'll fucking own it. glorified in the grace by your victory when your done, you escape without memory blindfolded through this life as we learn and consequences when the wrong pages turn  it's an E! true hollywood story take a man down with his own glory now guess who's next  at some point we come down from the highs it's no big deal we move on with our lives and some of us let the last color cries do the math, you can laugh when I die if life is just a fantasy life then could you live this fantasy life for soemthing would you just remember that the doors are not closable and the mother fucking heroes are disposable  it's an E! true hollywood story take a man down with his own glory now guess who's next  it's an E! true hollywood story take a man down with his own glory now guess who's next  Just live and let die just live an let just live and let just live and let die  Just live and let die just live an let just live and let  so what about the hardcore that ain't hard anymore or the shit talkers who ain't shit anymore or the old fighters that can't fight anymore or the white kid's who ain't white any more or the actors that don't act anymore or the rappers that don't rap anymore or the hipsters that don't hip anymore or the limpsters that don't limip anymore  Just live and let die just live an let just live and let just live and let die  Just live and let die just live an let just live and let just live and let die  but no it's impossible just to live your life and let us die oh mother fuck that you wanna talk about some shit let's talk about  the hardcore that ain't hard anymore or the shit talkers who ain't shit anymore or the old fighters that can't fight anymore or the white kid's who ain't white any more or the actors that can't act anymore or the rappers that can't rap anymore or the hipsters that can't hip anymore or the limpsters that can't limip anymore  it's an E! true hollywood story take a man down with his own glory now guess who's next  it's an E! true hollywood story take a man down with his own glory now guess who's next  "
53,The Surrender,Limp Bizkit,239,negative,"Don't label me a monster I'm a monster just like you Don't label me a victim Cause I'm a victim just like you I'm a victim just like you  When your heart aches You can know that mine aches too And when you run away I run away like you I run away like you, I do  But you know theres a part of me that will always let you down And you know theres a part of me that will always make you cry And you know theres a part of me that just wont let you die Inside cause I surrender  I surrender into you, I do Keep surrendering to you, I do, I do I surrender just for you, for yes  "
54,The Unforgiven,Metallica,389,negative,New blood joins this earth And quikly he's subdued Through constant pain disgrace The young boy learns their rules With time the child draws in This whipping boy done wrong Deprived of all his thoughts The young man struggles on and on he's known A vow unto his own That never from this day His will they'll take away What I've felt What I've known Never shined through in what I've shown Never be Never see Won't see what might have been What I've felt What I've known Never shined through in what I've shown Never free Never me So I dub thee unforgiven They dedicate their lives To running all of his He tries to please them all This bitter man he is Throughout his life the same He's battled constantly This fight he cannot win A tired man they see no longer cares The old man then prepares To die regretfully That old man here is me What I've felt What I've known Never shined through in what I've shown Never be Never see Won't see what might have been What I've felt What I've known Never shined through in what I've shown Never free Never me So I dub the unforgiven What I've felt What I've known Never shined through in what I've shown Never be Never see Won't see what might have been What I've felt What I've known Never shined through in what I've shown Never free Never me So I dub the unforgiven Never free Never me So I dub the unforgiven You labeled me I'll label you So I dub the unforgiven Never free Never me So I dub the unforgiven You labeled me I'll label you So I dub the unforgiven Never free Never me So I dub the unforgiven 
55,The Unnamed Feeling,Metallica,429,negative,"(Been here before, Been here before Been here before, Been here before)  (Been here before, Been here before)  Been here before couldn't say i liked it Do i start writing all this down? Just let me plug you into my world Can't you help me be uncrazy?  Name this for me, heat the cold air Take the chill off of my life And if i could i'd turn my eyes To look inside to see what's comin' It comes alive It comes alive It comes alive And i die a little more It comes alive It comes alive It comes alive Each moment here i die a little more Ooh i die, i die, i die a little more  Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away (Been here before, Been here before Been here before, Been here before)  (Been here before, Been here before)  I'm frantic in your soothing arms I can not sleep in this down filled world I've found safety in this loneliness But i can not stand it anymore Cross my heart hope not to die Swallow evil, ride the sky Lose myself in a crowded room You fool, you fool, it will be here soon It comes alive It comes alive It comes alive And i die a little more It comes alive It comes alive It comes alive Each moment here i die a little more Ooh i die, i die, i die a little more  Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And i wait for this train Toes over the line And then the unnamed feeling Takes me away, it takes me...  Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away yeah, it takes me away  Get the fuck out of here I just wanna get the fuck away from me I rage, i glaze, i hurt, i hate I hate it all, why? Why? Why me? I cannot sleep with a head like this I wanna cry, I wanna scream I rage, i glaze, i hurt, i hate I wanna hate it all away...  Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And i wait for this train Toes over are the line And then the unnamed feeling Takes me away, yeah takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away  "
56,The Way I Am,Eminem,293,negative,"Whatever.. Dre, just let it run Aiyyo turn the beat up a little bit Aiyyo.. this song is for anyone.. fuck it Just shut up and listen, aiyyo.. I sit back with this pack of Zig Zags and this bag of this weed it gives me the shit needed to be the most meanest MC on this -- on this Earth And since birth I've been cursed with this curse to just curse And just blurt this berserk and bizarre shit that works And it sells and it helps in itself to relieve all this tension dispensin these sentences Gettin this stress that's been eatin me recently off of this chest and I rest again peacefully (peacefully).. but at least have the decency in you to leave me alone, when you freaks see me out in the streets when I'm eatin or feedin my daughter to not come and speak to me (speak to me).. I don't know you and no, I don't owe you a mo-therfuck-in thing I'm not Mr. N'Sync, I'm not what your friends think I'm not Mr. Friendly, I can be a prick if you tempt me my tank is on empty (is on empty).. No patience is in me and if you offend me I'm liftin you 10 feet (liftin you 10 feet).. in the air I don't care who is there and who saw me destroy you Go call you a lawyer, file you a lawsuit I'll smile in the courtroom and buy you a wardrobe I'm tired of all you (of all you).. I don't mean to be mean but that's all I can be is just me And I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am Radio won't even play my jam Cause I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am I don't know it's just the way I am Sometimes I just feel like my father, I hate to be bothered with all of this nonsense it's constant And, \\""Oh, it's his lyrical content - - the song 'Guilty Conscience' has gotten such rotten responses\\"" And all of this controversy circles me and it seems like the media immediately points a finger at me (finger at me).. So I point one back at 'em, but not the index or pinkie or the ring or the thumb, it's the one you put up when you don't give a fuck, when you won't just put up with the bullshit they pull, cause they full of shit too When a dude's gettin bullied and shoots up his school and they blame it on Marilyn (on Marilyn).. and the heroin Where were the parents at? And look where it's at Middle America, now it's a tragedy Now it's so sad to see, an upper class ci-ty havin this happenin (this happenin).. then attack Eminem cause I rap this way (rap this way).. But I'm glad cause they feed me the fuel that I need for the fire to burn and it's burnin and I have returned And I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am Radio won't even play my jam Cause I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am I don't know it's just the way I am I'm so sick and tired of bein admired that I wish that I would just die or get fired and dropped from my label and stop with the fables I'm not gonna be able to top on \\""My Name is..\\"" And pigeon-holed into some pop-py sensation to cop me rotation at rock'n'roll stations And I just do not got the patience (got the patience).. to deal with these cocky caucasians who think I'm some wigger who just tries to be black cause I talk with an accent, and grab on my balls, so they always keep askin the same fuckin questions (fuckin questions).. What school did I go to, what hood I grew up in The why, the who what when, the where, and the how 'til I'm grabbin my hair and I'm tearin it out cause they drivin me crazy (drivin me crazy).. I can't take it I'm racin, I'm pacin, I stand and I sit And I'm thankful for ev-ery fan that I get But I can't take a SHIT, in the bathroom without someone standin by it No I won't sign your autograph You can call me an asshole I'm glad And I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am Radio won't even play my jam Cause I am, whatever you say I am If I wasn't, then why would I say I am? In the paper, the news everyday I am I don't know it's just the way I am "
57,Time for You to Go,Sum 41,182,negative,"I'm going in alone, did my time and now I'm done It's so... easy All the faces that I see don't mean anything at all to me But you got me going now  Out of my mind and it's a hell of a time, yeah  I don't want to say what I don't mean But I'm trying just to let you know That I don't want to cause a scene But I'm sorry girl, it's time for you to go  I'll tell you everything that you know you never want to hear 'Cause it's true I'll give you all I got but there's nothing there that you could use So you got me going now  Out of my mind and it's a hell of a time with you now, yeah  I don't want to say what I don't mean But I'm trying just to let you know That I don't want to cause a scene But I'm sorry girl, it's time for you to go Don't want to say what I don't mean But I'm trying just to let you know That I don't want to cause a scene But I'm sorry girl, it's time for you to go  I'll tell you anything that you know you never want to hear 'Cause it's true I'll give you all I got but I'm the only thing you use So you got me going now  I don't want to say what I don't mean But I'm trying just to let you know That I don't want to cause a scene But I'm sorry girl, it's time for you to go Don't want to say what I don't mean But I'm trying just to let you know That I don't want to cause a scene But I'm sorry girl, it's time for, Sorry girl, it's time for, Sorry girl, it's time for you to go  "
